,,,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RUSHING,RUSHING,RUSHING,MISC,STANDARD
Player,Season,Week,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,FPTS
Nelson Agholor (BAL),2022,4,3,4,46,15.3,27,2,0,0,0,0,0,4.6
JuJu Smith-Schuster (NE),2022,4,5,8,46,9.2,19,0,0,0,0,0,0,4.6
Parris Campbell (NYG),2022,4,4,4,43,10.8,20,1,0,0,0,0,0,4.3
Randall Cobb (FA),2022,4,3,4,42,14.0,24,1,0,0,0,0,0,4.2
Garrett Wilson (NYJ),2022,4,2,6,41,20.5,35,2,0,0,0,0,0,4.1
Jaylen Waddle (MIA),2022,4,2,5,39,19.5,20,1,0,0,0,0,0,3.9
Kendall Hinton (DEN),2022,4,2,3,39,19.5,35,2,0,0,0,0,0,3.9
Kendrick Bourne (NE),2022,4,2,3,23,11.5,16,0,0,1,15,0,0,3.8
Curtis Samuel (WAS),2022,4,4,7,38,9.5,15,0,0,0,0,0,0,3.8
Brandon Aiyuk (SF),2022,4,4,4,37,9.3,15,0,0,0,0,0,0,3.7
David Bell (CLE),2022,4,2,3,35,17.5,20,1,0,0,0,0,0,3.5
Ben Skowronek (LAR),2022,4,2,3,33,16.5,17,0,0,0,0,0,0,3.3
Mack Hollins (ATL),2022,4,3,5,33,11.0,16,0,0,0,0,0,0,3.3
Skyy Moore (KC),2022,4,2,4,31,15.5,16,0,0,0,0,0,0,3.1
Michael Pittman Jr. (IND),2022,4,3,6,31,10.3,14,0,0,0,0,0,0,3.1
Jarvis Landry (FA),2022,4,2,2,7,3.5,6,0,0,0,0,0,0,2.7
Chosen Anderson (FA),2022,4,3,5,26,8.7,13,0,0,0,0,0,0,2.6
Joshua Palmer (LAC),2022,4,1,1,25,25.0,25,1,0,0,0,0,0,2.5
Russell Gage (TB),2022,4,2,4,24,12.0,14,0,0,0,0,0,0,2.4
Khalil Shakir (BUF),2022,4,2,2,23,11.5,14,0,0,0,0,0,0,2.3
Jauan Jennings (SF),2022,4,2,4,22,11.0,12,0,0,0,0,0,0,2.2
Diontae Johnson (PIT),2022,4,2,4,11,5.5,6,0,0,2,11,0,0,2.2
Kalif Raymond (DET),2022,4,3,5,38,12.7,21,1,0,1,3,0,1,2.1
Treylon Burks (TEN),2022,4,2,3,14,7.0,8,0,0,1,4,0,0,1.8
Tre'Quan Smith (NO),2022,4,1,2,18,18.0,18,0,0,0,0,0,0,1.8
Ashton Dulin (IND),2022,4,2,3,18,9.0,10,0,0,0,0,0,0,1.8
DeVonta Smith (PHI),2022,4,3,4,17,5.7,7,0,0,0,0,0,0,1.7
Rashod Bateman (BAL),2022,4,3,6,17,5.7,13,0,0,0,0,0,0,1.7
Drake London (ATL),2022,4,2,7,17,8.5,10,0,0,0,0,0,0,1.7
Dee Eskridge (SEA),2022,4,1,1,10,10.0,10,0,0,1,6,0,0,1.6
Quintez Cephus (DET),2022,4,2,3,15,7.5,9,0,0,0,0,0,0,1.5
Terry McLaurin (WAS),2022,4,2,6,15,7.5,9,0,0,0,0,0,0,1.5
Jalen Nailor (MIN),2022,4,1,1,13,13.0,13,0,0,0,0,0,0,1.3
Gabe Davis (BUF),2022,4,1,3,13,13.0,13,0,0,0,0,0,0,1.3
Brandon Powell (MIN),2022,4,0,0,0,0.0,0,0,0,1,11,0,0,1.1
Darius Slayton (NYG),2022,4,1,2,11,11.0,11,0,0,0,0,0,0,1.1
