,,,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,MISC,STANDARD
Player,Season,Week,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,FPTS
Kenneth Gainwell (PHI),2022,4,5,19,3.8,10,0,1,1,2,-2,-2.0,0,0,7.7
James Conner (ARI),2022,4,15,55,3.7,8,0,0,3,3,22,7.3,0,0,7.7
Devin Singletary (HOU),2022,4,11,49,4.5,18,0,0,4,5,47,11.8,0,1,7.6
Najee Harris (PIT),2022,4,18,74,4.1,16,0,0,0,0,0,0.0,0,0,7.4
Kareem Hunt (FA),2022,4,10,49,4.9,20,1,0,2,3,19,9.5,0,0,6.8
Justin Jackson (FA),2022,4,2,3,1.5,3,0,0,2,2,4,2.0,1,0,6.7
Antonio Gibson (WAS),2022,4,13,49,3.8,11,0,0,3,3,14,4.7,0,0,6.3
Isiah Pacheco (KC),2022,4,11,63,5.7,9,0,0,0,0,0,0.0,0,0,6.3
Justice Hill (BAL),2022,4,8,45,5.6,14,0,0,2,2,12,6.0,0,0,5.7
J.D. McKissic (FA),2022,4,8,40,5.0,33,2,0,3,4,16,5.3,0,0,5.6
Jonathan Williams (WAS),2022,4,5,48,9.6,23,1,0,0,0,0,0.0,0,0,4.8
Eno Benjamin (NO),2022,4,5,36,7.2,15,0,0,1,1,9,9.0,0,0,4.5
Kyle Juszczyk (SF),2022,4,1,9,9.0,9,0,0,1,1,35,35.0,0,0,4.4
Mark Ingram II (FA),2022,4,10,30,3.0,8,0,0,3,3,13,4.3,0,0,4.3
Craig Reynolds (DET),2022,4,2,30,15.0,21,1,0,1,1,12,12.0,0,0,4.2
Darrell Henderson Jr. (FA),2022,4,7,27,3.9,7,0,0,3,4,12,4.0,0,0,3.9
Travis Etienne Jr. (JAC),2022,4,8,32,4.0,11,0,0,0,1,0,0.0,0,0,3.2
James Robinson (NE),2022,4,8,29,3.6,9,0,0,0,0,0,0.0,0,0,2.9
Mike Boone (HOU),2022,4,3,20,6.7,13,0,0,1,3,9,9.0,0,0,2.9
